trial_num,prompt,model_choice,human_choice,reward,cumulative_reward,log_likelihood,top2_tokens
0,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<",P,P,1,1,-0.69140625,"[{'token': 'U', 'prob': 0.5}, {'token': 'P', 'prob': 0.5}]"
1,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<",P,U,1,2,-1.0546875,"[{'token': 'P', 'prob': 0.65234375}, {'token': 'U', 'prob': 0.34765625}]"
2,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<",P,U,1,3,-0.9765625,"[{'token': 'P', 'prob': 0.62109375}, {'token': 'U', 'prob': 0.376953125}]"
3,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<",P,P,1,4,-0.51953125,"[{'token': 'P', 'prob': 0.59375}, {'token': 'U', 'prob': 0.40625}]"
4,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<",P,P,1,5,-0.69140625,"[{'token': 'U', 'prob': 0.5}, {'token': 'P', 'prob': 0.5}]"
5,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<",U,P,0,5,-0.90234375,"[{'token': 'U', 'prob': 0.59375}, {'token': 'P', 'prob': 0.40625}]"
6,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<",P,P,1,6,-0.6328125,"[{'token': 'P', 'prob': 0.53125}, {'token': 'U', 'prob': 0.46875}]"
7,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<",P,U,1,7,-0.9765625,"[{'token': 'P', 'prob': 0.62109375}, {'token': 'U', 'prob': 0.376953125}]"
8,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<",P,P,0,7,-0.69140625,"[{'token': 'U', 'prob': 0.5}, {'token': 'P', 'prob': 0.5}]"
9,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<",P,U,0,7,-0.828125,"[{'token': 'P', 'prob': 0.5625}, {'token': 'U', 'prob': 0.4375}]"
10,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<U>.
You press <<",P,U,1,8,-0.90234375,"[{'token': 'P', 'prob': 0.59375}, {'token': 'U', 'prob': 0.40625}]"
11,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<U>.
You press <<U>.
You press <<",P,U,1,9,-0.828125,"[{'token': 'P', 'prob': 0.5625}, {'token': 'U', 'prob': 0.4375}]"
12,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<",P,U,1,10,-0.7578125,"[{'token': 'P', 'prob': 0.53125}, {'token': 'U', 'prob': 0.46875}]"
13,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<",U,U,1,11,-0.57421875,"[{'token': 'U', 'prob': 0.5625}, {'token': 'P', 'prob': 0.4375}]"
14,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<",U,U,1,12,-0.4765625,"[{'token': 'U', 'prob': 0.62109375}, {'token': 'P', 'prob': 0.376953125}]"
15,"In this task, you have to repeatedly choose between two slot machines labeled U and P.
You can choose a slot machine by pressing its corresponding key. Game 1:You press <<P>.
You press <<U>.
You press <<U>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<P>.
You press <<U>.
You press <<P>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<U>.
You press <<",U,U,1,13,-0.427734375,"[{'token': 'U', 'prob': 0.65234375}, {'token': 'P', 'prob': 0.34765625}]"
